Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-02-27 11:16:52 AM
-0.478035152,-76.90400696,1.29630363,5.105267525,0.204391196,-0.164791271,,,,
-0.519261301,-76.92703247,1.132000923,5.105173111,0.189396441,-0.184795484,,,,
-0.531227708,-76.88863373,1.077634096,5.103001118,0.158712849,-0.191338181,,,,
-0.467472613,-76.90514374,1.172482729,5.100595951,0.184153616,-0.174058408,,,,
-0.347869754,-76.98049164,1.273879051,5.095461369,0.224239618,-0.154641047,,,,
-0.522289038,-77.02328491,1.389567971,5.088773251,0.192019939,-0.17419222,,,,
-0.479869157,-76.88237762,1.178794146,5.093009472,0.167541161,-0.205278665,,,,
-0.384521544,-76.83576965,0.963524163,5.103121281,0.181666061,-0.171627775,,,,
-0.51230526,-76.61266327,0.573760152,5.109418392,0.178296193,-0.155867442,,,,
-0.543455362,-76.35897064,-0.371558189,5.103930473,0.124654405,-0.215733781,,,,
-0.481041551,-76.06198883,-1.162572742,5.119185925,0.131109327,-0.207857192,,,,
-0.472778708,-75.51717377,-2.202953577,5.126810074,0.125430629,-0.194238827,,,,
-0.438073367,-74.90866852,-3.010390997,5.160760403,0.150023013,-0.187535018,,,,
-0.519591153,-74.67747498,-4.308228016,5.225571632,0.130005509,-0.201586753,,,,
-0.295035362,-74.17227173,-6.172390938,5.252419472,0.120382383,-0.202748865,,,,
-0.004052881,-73.98440552,-6.855077267,5.343734741,0.158875987,-0.19381085,,,,
0.069324136,-73.80974579,-7.462561131,5.431324959,0.17197898,-0.178705245,,,,
-0.124943584,-73.76886749,-8.920624733,5.49954319,0.15153566,-0.168671399,,,,
-0.076228693,-73.737854,-9.555708885,5.588279724,0.13078016,-0.170133308,,,,
0.137597978,-73.78488922,-9.343257904,5.668585777,0.149009913,-0.18263571,,,,
0.381456882,-73.91592407,-9.581106186,5.722888947,0.163688317,-0.169297442,,,,
0.21537593,-73.97693634,-10.89795208,5.771275997,0.176205695,-0.15791966,,,,
-0.193347886,-74.08528137,-11.23874855,5.818231583,0.106349334,-0.16299808,,,,
0.045233909,-74.18906403,-10.41652584,5.855501652,0.072274022,-0.185678691,,,,
0.549583554,-74.06172943,-11.27052975,5.863327503,0.176034138,-0.186703563,,,,
0.113026083,-74.13174438,-11.73880863,5.874721527,0.111600511,-0.164917842,,,,
-0.162154809,-74.15639496,-11.22904968,5.886312962,0.052315742,-0.180355042,,,,
0.128081784,-74.15661621,-11.85257339,5.869832993,0.103094675,-0.199640051,,,,
-0.013909445,-74.13930511,-11.06581211,5.846781254,0.032101192,-0.18856442,,,,
0.043048501,-73.93865204,-11.37559795,5.811738014,0.073298156,-0.18779406,,,,
