Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-03-02 11:45:35 AM
-0.52227813,-77.54799652,2.628869295,4.9276824,0.269710064,-0.142247811,1.874449372,,,
-0.838014543,-76.76494598,2.535284758,4.877169132,0.30460459,-0.093023717,1.923716504,,,
-1.227424979,-76.51750946,3.032096624,4.705811977,0.172063962,-0.012032777,1.551999346,,,
-0.417937845,-75.61724091,3.091060877,4.622176647,0.394450754,0.02368179,1.49533666,,,
-1.189175487,-76.09589386,3.023027182,4.709616661,0.235199988,0.065912403,1.557914097,,,
-1.043357253,-75.71823883,2.700782537,4.637171745,0.263711452,0.072569452,1.716973389,,,
-0.705418229,-74.94033813,2.434316158,4.493981361,0.358970076,0.063651256,1.846096016,,,
-1.086055636,-75.08023071,2.199444056,4.487845421,0.197587043,0.104413755,2.040445361,,,
-0.58174032,-73.73536682,2.100937605,4.371302605,0.410087317,0.049467046,2.080643706,,,
-1.381112814,-73.92142487,2.207910061,4.288045406,0.207134336,0.074965283,1.942128659,,,
-1.014268637,-73.6335907,1.036590457,4.253945351,0.247360408,0.064120166,4.103785948,,,
-0.794460654,-72.54911804,1.559392095,4.162158489,0.371505857,-0.04054793,2.669090412,,,
-1.395928144,-72.7188797,1.619450808,4.113485813,0.115119644,0.002684724,2.540049869,,,
-0.449228108,-72.07910156,0.980493069,4.069410324,0.388651162,-0.037696023,4.150371331,,,
-1.362927318,-72.16786194,1.925072551,4.05687809,0.20897463,-0.069398731,2.107389713,,,
-1.129296303,-71.84767914,1.455666423,4.018384457,0.227746546,-0.036755208,2.760511882,,,
-0.713461399,-71.07454681,0.736727834,3.901387453,0.352736235,-0.091046154,5.295561363,,,
-1.508880019,-71.25054932,1.298612952,3.888251543,0.1170284,-0.07047569,2.994157372,,,
-0.678458154,-70.37800598,1.265402079,3.849929094,0.370526373,-0.062028933,3.042455167,,,
-1.312684655,-70.31809998,0.146049008,3.773622513,0.238429084,-0.082317002,25.83805645,,,
-1.354788303,-70.16427612,0.461950243,3.750149012,0.190789893,-0.071045205,8.118079964,,,
-0.723755062,-69.32860565,0.092370026,3.691744804,0.335707605,-0.07802242,39.96691312,,,
-1.021001935,-69.85204315,-0.549276292,3.677640676,0.258604914,-0.084840573,-6.695429476,,,
-1.254802346,-69.07725525,-0.085443504,3.668503523,0.280419201,-0.075928375,-42.93484409,,,
-1.564112425,-69.3030014,-1.013728142,3.67014122,0.206087708,-0.084863089,-3.620439315,,,
-0.908518851,-69.08443451,-0.600981772,3.652058363,0.254511416,-0.091704093,-6.076820518,,,
-0.640339911,-68.14466095,-0.49919647,3.590493917,0.394182116,-0.077714451,-7.192546688,,,
-1.53162694,-68.38254547,-1.192427993,3.540507555,0.201665655,-0.068825044,-2.969158369,,,
-1.271481514,-67.88166046,-1.372744679,3.52820015,0.264424086,-0.020813841,-2.57017944,,,
-1.117071986,-67.61303711,-0.921283484,3.541586637,0.307479262,-0.050074033,-3.8441877,,,
-1.15798378,-67.32467651,-1.38173151,3.46360755,0.243679672,-0.080825053,-2.506715324,,,
-1.003393054,-66.95094299,-3.105598927,3.363779783,0.364272088,-0.069943301,-1.083133998,,,
-1.411676764,-66.49005127,-2.201951742,3.390052557,0.281936914,-0.055496354,-1.539567145,,,
-1.282133818,-65.78044891,-2.365491152,3.327846766,0.245037824,-0.040674247,-1.406831204,,,
-1.250791907,-65.14551544,-3.680281162,3.198316097,0.331251472,-0.059511729,-0.869041238,,,
-1.694321156,-65.10871124,-4.166584969,3.178850889,0.243706986,-0.013153747,-0.762939173,,,
-0.897998273,-65.06580353,-4.618886471,3.253635645,0.355618536,0.006485752,-0.704419921,,,
-1.041399002,-64.68502808,-4.09257412,3.299430132,0.33099407,-0.028806813,-0.806199237,,,
-1.769909024,-64.16020966,-4.922062874,3.177497625,0.239567727,-0.037037987,-0.645562177,,,
-1.552605391,-63.78783035,-5.735170841,3.04855895,0.270731211,-0.031892095,-0.531555037,,,
-1.036229968,-63.18877411,-5.075224876,3.077572107,0.2735416,0.013589922,-0.60639128,,,
-1.148548603,-62.7158165,-5.694330692,3.076118469,0.375850081,-0.033682484,-0.540207205,,,
